timestamp,open,high,low,close,volume
2017-12-29,85.6300,86.0500,85.5000,85.5400,18162779
2017-12-28,85.9000,85.9300,85.5500,85.7200,9872795
2017-12-27,85.6500,85.9800,85.2150,85.7100,13000828
2017-12-26,85.3100,85.5346,85.0300,85.4000,9737412
2017-12-22,85.4000,85.6300,84.9200,85.5100,14033977
2017-12-21,86.0500,86.1000,85.4000,85.5000,16638402
2017-12-20,86.2000,86.3000,84.7100,85.5200,23425009
2017-12-19,86.3500,86.3500,85.2700,85.8300,23241979
2017-12-18,87.1200,87.4999,86.2300,86.3800,21551076
2017-12-15,85.2600,87.0900,84.8800,86.8500,52430167
2017-12-14,85.4300,85.8739,84.5300,84.6900,19080106
2017-12-13,85.7400,86.0000,85.1700,85.3500,21307911
2017-12-12,85.3100,86.0500,85.0800,85.5800,23534946
2017-12-11,84.2900,85.3700,84.1200,85.2300,19909119
2017-12-08,83.6300,84.5800,83.3300,84.1600,23825056
2017-12-07,82.5400,82.8000,82.0000,82.4900,20378114
2017-12-06,81.5500,83.1400,81.4300,82.7800,24821403
2017-12-05,81.3400,82.6800,80.9801,81.5900,25512120
2017-12-04,84.4200,84.4299,80.7000,81.0800,37977732
2017-12-01,83.6000,84.8100,83.2200,84.2600,29387325
2017-11-30,83.5100,84.5200,83.3400,84.1700,32998408
2017-11-29,84.7100,84.9172,83.1750,83.3400,27358477
2017-11-28,84.0700,85.0600,84.0200,84.8800,21162639
2017-11-27,83.3100,83.9800,83.3000,83.8700,17603760
2017-11-24,83.0100,83.4300,82.7800,83.2600,7425503
2017-11-22,83.8300,83.9000,83.0400,83.1100,20213704
2017-11-21,82.7400,83.8400,82.7400,83.7200,21237454
2017-11-20,82.4000,82.5900,82.2500,82.5300,16072495
2017-11-17,83.1200,83.1200,82.2400,82.4000,21715498
2017-11-16,83.1000,83.4200,82.9400,83.2000,20659209
2017-11-15,83.4700,83.6900,82.6900,82.9800,19097333
2017-11-14,83.5000,84.1000,82.9800,84.0500,18604034
2017-11-13,83.6600,83.9400,83.4600,83.9300,14080820
2017-11-10,83.7900,84.0950,83.2300,83.8700,19340435
2017-11-09,84.1100,84.2700,82.9000,84.0900,20924172
2017-11-08,84.1400,84.6100,83.8300,84.5600,18034170
2017-11-07,84.7700,84.9000,83.9300,84.2700,17152583
2017-11-06,84.2000,84.7000,84.0825,84.4700,19039847
2017-11-03,84.0800,84.5400,83.4000,84.1400,17569120
2017-11-02,83.3500,84.4600,83.1200,84.0500,23822964
2017-11-01,83.6800,83.7600,82.8800,83.1800,22039635
2017-10-31,84.3600,84.3600,83.1100,83.1800,26728947
2017-10-30,83.7000,84.3250,83.1050,83.8900,31291801
2017-10-27,84.3700,86.2000,83.6100,83.8100,70877350
2017-10-26,79.2000,79.4200,78.7500,78.7600,29181652
2017-10-25,78.5800,79.1000,78.0100,78.6300,19714512
2017-10-24,78.9000,79.2000,78.4600,78.8600,16613928
2017-10-23,78.9900,79.3400,78.7600,78.8300,20479731
2017-10-20,78.3200,78.9700,78.2200,78.8100,22517092
2017-10-19,77.5700,77.9300,77.3500,77.9100,14982129
2017-10-18,77.6700,77.8500,77.3700,77.6100,13147124
2017-10-17,77.4700,77.6200,77.2500,77.5900,15953665
2017-10-16,77.4200,77.8100,77.3500,77.6500,12331147
