timestamp,open,high,low,close,volume
2017-12-29,1046.7200,1049.7000,1044.9000,1046.4000,867943
2017-12-28,1051.6000,1054.7500,1044.7700,1048.1400,829623
2017-12-27,1057.3900,1058.3700,1048.0500,1049.3700,1214775
2017-12-26,1058.0700,1060.1200,1050.2000,1056.7400,756324
2017-12-22,1061.1100,1064.2000,1059.4400,1060.1200,734566
2017-12-21,1064.9500,1069.3300,1061.7900,1063.6300,974594
2017-12-20,1071.7800,1073.3800,1061.5200,1064.9500,1266115
2017-12-19,1075.2000,1076.8400,1063.5500,1070.6800,1254615
2017-12-18,1066.0800,1078.4900,1062.0000,1077.1400,1531522
2017-12-15,1054.6100,1067.6200,1049.5000,1064.1900,3142760
2017-12-14,1045.0000,1058.5000,1043.1100,1049.1500,1545616
2017-12-13,1046.1200,1046.6600,1038.3800,1040.6100,1207286
2017-12-12,1039.6300,1050.3100,1033.6900,1040.4800,1269883
2017-12-11,1035.5000,1043.8000,1032.0500,1041.1000,1119052
2017-12-08,1037.4900,1042.0500,1032.5200,1037.0500,1277894
2017-12-07,1020.4300,1034.2400,1018.0700,1030.9300,1387107
2017-12-06,1001.5000,1024.9700,1001.1400,1018.3800,1254837
2017-12-05,995.9400,1020.6100,988.2800,1005.1500,2023376
2017-12-04,1012.6600,1016.1000,995.5700,998.6800,1891408
2017-12-01,1015.8000,1022.4900,1002.0200,1010.1700,1908944
2017-11-30,1022.3700,1028.4900,1015.0000,1021.4100,1722913
2017-11-29,1042.6800,1044.0800,1015.6500,1021.6600,2438875
2017-11-28,1055.0900,1062.3800,1040.0000,1047.4100,1341000
2017-11-27,1040.0000,1055.4600,1038.4400,1054.2100,1284354
2017-11-24,1035.8700,1043.1800,1035.0000,1040.6100,536958
2017-11-22,1035.0000,1039.7060,1031.4300,1035.9600,716661
2017-11-21,1023.3100,1035.1100,1022.6550,1034.4900,1083715
2017-11-20,1020.2600,1022.6100,1017.5000,1018.3800,894844
2017-11-17,1034.0100,1034.4200,1017.7500,1019.0900,1350144
2017-11-16,1022.5200,1035.9200,1022.5200,1032.5000,1129423
2017-11-15,1019.2100,1024.0900,1015.4200,1020.9100,859951
2017-11-14,1022.5900,1026.8100,1014.1500,1026.0000,947273
2017-11-13,1023.4200,1031.5800,1022.5700,1025.7500,878969
2017-11-10,1026.4600,1030.7600,1025.2800,1028.0700,719227
2017-11-09,1033.9900,1033.9900,1019.6660,1031.2600,1236903
2017-11-08,1030.5200,1043.5220,1028.4500,1039.8500,1088716
2017-11-07,1027.2700,1033.9700,1025.1300,1033.3300,1089887
2017-11-06,1028.9900,1034.8700,1025.0000,1025.9000,1119131
2017-11-03,1022.1100,1032.6500,1020.3100,1032.4800,1058037
2017-11-02,1021.7600,1028.0900,1013.0100,1025.5800,1008190
2017-11-01,1017.2100,1029.6700,1016.9500,1025.5000,1360900
2017-10-31,1015.2200,1024.0000,1010.4200,1016.6400,1324961
2017-10-30,1014.0000,1024.9700,1007.5000,1017.1100,2074619
2017-10-27,1009.1900,1048.3900,1008.2000,1019.2700,5125791
2017-10-26,980.0000,987.6000,972.2000,972.5600,1660850
2017-10-25,968.3700,976.0900,960.5200,973.3300,1162606
2017-10-24,970.0000,972.2300,961.0000,970.5400,1155231
2017-10-23,989.5200,989.5200,966.1200,968.4500,1431886
2017-10-20,989.4400,991.0000,984.5800,988.2000,1120038
